[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

2025/11/08 13:04:14 stdioProxy initialized: true
2025/11/08 13:04:14 stdioToHTTPAdapter initialized: true
2025/11/08 13:04:14 remoteHTTPAdapter initialized: true
2025/11/08 13:04:14 remoteHTTPPlugin initialized: true
[GIN-debug] GET    /health                   --> main.main.func3 (4 handlers)
[GIN-debug] GET    /docs/*any                --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] GET    /swagger/doc.json         --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/metrics --> main.main.func4 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/logs   --> main.main.func5 (4 handlers)
[GIN-debug] GET    /api/v1/monitoring/cache  --> main.main.func6 (4 handlers)
[GIN-debug] POST   /api/v1/discovery/scan    --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ScanForMCPServers-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/scan    --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ListScanJobs-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/scan/:jobId --> suse-ai-up/internal/handlers.(*DiscoveryHandler).GetScanJob-fm (4 handlers)
[GIN-debug] DELETE /api/v1/discovery/scan/:jobId --> suse-ai-up/internal/handlers.(*DiscoveryHandler).CancelScanJob-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/servers --> suse-ai-up/internal/handlers.(*DiscoveryHandler).ListDiscoveredServers-fm (4 handlers)
[GIN-debug] GET    /api/v1/discovery/servers/:id --> suse-ai-up/internal/handlers.(*DiscoveryHandler).GetDiscoveredServer-fm (4 handlers)
[GIN-debug] POST   /api/v1/discovery/register --> suse-ai-up/internal/handlers.(*RegistrationHandler).RegisterDiscoveredServer-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters          --> main.main.func7 (4 handlers)
[GIN-debug] POST   /api/v1/adapters          --> main.main.func8 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name    --> main.main.func9 (4 handlers)
[GIN-debug] PUT    /api/v1/adapters/:name    --> main.main.func10 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name    --> main.main.func11 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/token --> suse-ai-up/internal/handlers.(*TokenHandler).GetAdapterToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/token/validate --> suse-ai-up/internal/handlers.(*TokenHandler).ValidateToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/token/refresh --> suse-ai-up/internal/handlers.(*TokenHandler).RefreshToken-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/client-token --> suse-ai-up/internal/handlers.(*MCPAuthHandler).GetClientToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/validate-auth --> suse-ai-up/internal/handlers.(*MCPAuthHandler).ValidateAuthConfig-fm (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/test-auth --> suse-ai-up/internal/handlers.(*MCPAuthHandler).TestAuthConnection-fm (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/logs --> main.main.func12 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/status --> main.main.func13 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/sessions --> main.main.func14 (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/sessions --> main.main.func15 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/sessions --> main.main.func16 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/sessions/:sessionId --> main.main.func17 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/sessions/:sessionId --> main.main.func18 (4 handlers)
[GIN-debug] GET    /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] POST   /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] PUT    /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] PATCH  /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] HEAD   /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] OPTIONS /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] DELETE /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] CONNECT /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] TRACE  /api/v1/adapters/:name/mcp --> main.main.func19 (4 handlers)
[GIN-debug] GET    /api/v1/registry          --> main.main.func20 (4 handlers)
[GIN-debug] GET    /api/v1/registry/public   --> suse-ai-up/internal/handlers.(*RegistryHandler).PublicList-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/sync/official --> suse-ai-up/internal/handlers.(*RegistryHandler).SyncOfficialRegistry-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload   --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadRegistryEntry-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload/bulk --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadBulkRegistryEntries-fm (4 handlers)
[GIN-debug] POST   /api/v1/registry/upload/local-mcp --> suse-ai-up/internal/handlers.(*RegistryHandler).UploadLocalMCP-fm (4 handlers)
[GIN-debug] GET    /api/v1/registry/browse   --> suse-ai-up/internal/handlers.(*RegistryHandler).BrowseRegistry-fm (4 handlers)
[GIN-debug] GET    /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).GetMCPServer-fm (4 handlers)
[GIN-debug] PUT    /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).UpdateMCPServer-fm (4 handlers)
[GIN-debug] DELETE /api/v1/registry/:id      --> suse-ai-up/internal/handlers.(*RegistryHandler).DeleteMCPServer-fm (4 handlers)
[GIN-debug] GET    /api/v1/deployment/config/:serverId --> suse-ai-up/internal/handlers.(*DeploymentHandler).GetMCPConfig-fm (4 handlers)
[GIN-debug] POST   /api/v1/deployment/deploy --> suse-ai-up/internal/handlers.(*DeploymentHandler).DeployMCP-fm (4 handlers)
2025/11/08 13:04:14 Server starting on port 8911
[GIN] 2025/11/08 - 13:04:14 | 200 |       71.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:14 | 200 |     227.542µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:14 | 200 |      12.083µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:14 | 200 |       3.709µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:15 | 200 |       3.792µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:15 | 200 |      18.084µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:15 | 404 |         625ns |             ::1 | GET      "/api/v1/metrics"
[GIN] 2025/11/08 - 13:04:19 | 200 |      42.125µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:19 | 200 |        9.25µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:19 | 200 |      10.375µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:19 | 200 |       3.958µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:24 | 200 |      27.584µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:24 | 200 |      12.292µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:24 | 200 |        13.5µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:24 | 200 |       4.083µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:29 | 200 |      21.834µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:29 | 200 |           7µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:29 | 200 |      37.125µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:29 | 200 |      17.167µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:34 | 200 |      31.792µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:34 | 200 |        13.5µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:34 | 200 |      15.875µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:34 | 200 |       7.292µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:39 | 200 |       20.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:39 | 200 |      13.709µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:39 | 200 |       8.959µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:39 | 200 |      12.208µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:44 | 200 |       22.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:44 | 200 |      10.541µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:44 | 200 |       20.75µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:44 | 200 |       3.584µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:49 | 200 |          21µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:49 | 200 |       11.75µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:49 | 200 |      12.292µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:49 | 200 |       4.958µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:54 | 200 |      22.292µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:54 | 200 |      10.833µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:54 | 200 |      13.375µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:54 | 200 |           3µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:59 | 200 |      20.917µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:59 | 200 |      11.041µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:04:59 | 200 |       13.25µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:04:59 | 200 |       4.417µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:04 | 200 |        28.5µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:04 | 200 |      12.125µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:04 | 200 |      12.375µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:04 | 200 |       3.958µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:09 | 200 |      26.209µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:09 | 200 |      16.458µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:09 | 200 |      14.333µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:09 | 200 |       5.542µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:14 | 200 |      41.375µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:14 | 200 |      23.667µs |             ::1 | GET      "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:14 | 200 |      19.208µs |             ::1 | GET      "/api/v1/discovery/servers"
[GIN] 2025/11/08 - 13:05:14 | 200 |       3.667µs |             ::1 | GET      "/api/v1/adapters"
2025/11/08 13:05:15 Creating adapter: test-no-auth-server, connectionType: RemoteHttp
2025/11/08 13:05:15 Adapter resource created, storing in adapter store
2025/11/08 13:05:15 Adapter successfully created and stored
2025/11/08 13:05:15 About to send JSON response
2025/11/08 13:05:15 JSON response sent
[GIN] 2025/11/08 - 13:05:15 | 201 |     260.834µs |             ::1 | POST     "/api/v1/adapters"
[GIN] 2025/11/08 - 13:05:18 | 200 |    5.428708ms |             ::1 | POST     "/api/v1/adapters/test-no-auth-server/mcp"
